company,date,close_price,volatility,debt_to_equity
AAPL,2020-03-31,154.63,0.018,0.92
AAPL,2020-06-30,154.63,0.012,0.93
AAPL,2020-09-30,154.63,0.018,0.92
AAPL,2020-12-31,154.63,0.018,0.92
AAPL,2021-03-31,156.32,0.018,1.23
AAPL,2021-06-30,156.32,0.018,1.23
AAPL,2021-09-30,154.63,0.018,0.92
AAPL,2021-12-31,154.63,0.018,0.85
AAPL,2022-03-31,156.32,0.018,1.23
AAPL,2022-06-30,154.63,0.018,0.92
AAPL,2022-09-30,154.63,0.018,0.92
AAPL,2022-12-31,154.63,0.018,0.92
AAPL,2023-03-31,156.32,0.018,1.23
AAPL,2023-06-30,156.32,0.018,1.23
AAPL,2023-09-30,156.32,0.018,1.23
AAPL,2023-12-31,154.63,0.018,0.85
AAPL,2024-03-31,156.32,0.018,1.23
AAPL,2024-06-30,156.32,0.018,1.23
AAPL,2024-09-30,156.32,0.018,1.23
AAPL,2024-12-31,154.63,0.018,0.92
AAPL,2025-03-31,154.63,0.018,0.85
AAPL,2025-06-30,156.32,0.018,1.23
MSFT,2020-03-31,245.67,0.07,1.25
MSFT,2020-06-30,240.56,0.06,1.25
MSFT,2020-09-30,240.56,0.06,1.25
MSFT,2020-12-31,245.67,0.07,1.25
MSFT,2021-03-31,245.67,0.06,1.25
MSFT,2021-06-30,240.56,0.06,1.35
MSFT,2021-09-30,240.56,0.06,1.25
MSFT,2021-12-31,240.56,0.06,1.35
MSFT,2022-03-31,240.56,0.06,1.25
MSFT,2022-06-30,245.67,0.07,1.25
MSFT,2022-09-30,240.56,0.06,1.25
MSFT,2022-12-31,245.67,0.07,1.25
MSFT,2023-03-31,245.67,0.07,1.25
MSFT,2023-06-30,245.67,0.07,1.25
MSFT,2023-09-30,245.67,0.07,1.25
MSFT,2023-12-31,245.67,0.07,1.25
MSFT,2024-03-31,245.67,0.07,1.25
MSFT,2024-06-30,245.67,0.07,1.25
MSFT,2024-09-30,245.67,0.07,1.25
MSFT,2024-12-31,245.67,0.07,1.25
MSFT,2025-03-31,245.67,0.07,1.25
MSFT,2025-06-30,240.56,0.06,1.35
XOM,2020-03-31,73.21,0.05,0.45
XOM,2020-06-30,73.21,0.05,0.45
XOM,2020-09-30,73.21,0.05,0.45
XOM,2020-12-31,73.21,0.05,0.45
XOM,2021-03-31,73.21,0.05,0.45
XOM,2021-06-30,73.21,0.05,0.45
XOM,2021-09-30,73.21,0.05,0.45
XOM,2021-12-31,73.21,0.05,0.45
XOM,2022-03-31,73.21,0.05,0.45
XOM,2022-06-30,73.21,0.05,0.45
XOM,2022-09-30,73.21,0.05,0.45
XOM,2022-12-31,73.21,0.05,0.45
XOM,2023-03-31,73.21,0.05,0.45
XOM,2023-06-30,73.21,0.05,0.45
XOM,2023-09-30,73.21,0.05,0.45
XOM,2023-12-31,73.21,0.05,0.45
XOM,2024-03-31,73.21,0.05,0.45
XOM,2024-06-30,73.21,0.05,0.45
XOM,2024-09-30,73.21,0.05,0.45
XOM,2024-12-31,73.21,0.05,0.45
XOM,2025-03-31,73.21,0.05,0.45
XOM,2025-06-30,73.21,0.05,0.45
JPM,2020-03-31,120.56,0.015,1.23
JPM,2020-06-30,121.53,0.06,1.35
JPM,2020-09-30,120.56,0.015,1.25
JPM,2020-12-31,120.56,0.015,1.25
JPM,2021-03-31,120.56,0.015,1.25
JPM,2021-06-30,120.56,0.06,1.25
JPM,2021-09-30,121.53,0.06,1.25
JPM,2021-12-31,121.53,0.06,1.25
JPM,2022-03-31,120.56,0.015,1.25
JPM,2022-06-30,120.56,0.015,1.25
JPM,2022-09-30,120.56,0.015,1.25
JPM,2022-12-31,120.56,0.015,1.25
JPM,2023-03-31,120.56,0.015,1.25
JPM,2023-06-30,120.56,0.015,1.25
JPM,2023-09-30,121.53,0.06,1.25
JPM,2023-12-31,121.53,0.06,1.25
JPM,2024-03-31,120.56,0.015,1.25
JPM,2024-06-30,121.53,0.06,1.35
JPM,2024-09-30,120.56,0.015,1.2
JPM,2024-12-31,120.56,0.015,1.25
JPM,2025-03-31,120.56,0.015,1.25
JPM,2025-06-30,120.56,0.015,1.25
GOOGL,2020-03-31,2200.56,0.06,0.45
GOOGL,2020-06-30,2200.56,0.06,0.45
GOOGL,2020-09-30,2200.56,0.06,0.45
GOOGL,2020-12-31,2200.56,0.06,0.45
GOOGL,2021-03-31,2200.56,0.06,0.45
GOOGL,2021-06-30,2200.56,0.06,0.45
GOOGL,2021-09-30,2200.56,0.06,0.45
GOOGL,2021-12-31,2200.56,0.06,0.45
GOOGL,2022-03-31,2200.56,0.06,0.45
GOOGL,2022-06-30,2200.56,0.06,0.45
GOOGL,2022-09-30,2200.56,0.06,0.45
GOOGL,2022-12-31,2200.56,0.06,0.45
GOOGL,2023-03-31,2200.56,0.06,0.45
GOOGL,2023-06-30,2200.56,0.06,0.45
GOOGL,2023-09-30,2200.56,0.06,0.45
GOOGL,2023-12-31,2200.56,0.06,0.45
GOOGL,2024-03-31,2200.56,0.06,0.45
GOOGL,2024-06-30,2200.56,0.06,0.45
GOOGL,2024-09-30,2200.56,0.06,0.45
GOOGL,2024-12-31,2200.56,0.06,0.45
GOOGL,2025-03-31,2200.56,0.06,0.45
GOOGL,2025-06-30,2200.56,0.06,0.45
WMT,2020-03-31,135.67,0.015,1.23
WMT,2020-06-30,145.67,0.012,1.25
WMT,2020-09-30,135.67,0.015,1.23
WMT,2020-12-31,145.67,0.012,1.25
WMT,2021-03-31,135.67,0.015,1.23
WMT,2021-06-30,135.67,0.012,1.25
WMT,2021-09-30,145.67,0.012,1.25
WMT,2021-12-31,145.67,0.012,1.25
WMT,2022-03-31,145.67,0.012,1.25
WMT,2022-06-30,145.67,0.012,1.25
WMT,2022-09-30,145.67,0.012,1.25
WMT,2022-12-31,145.67,0.012,1.25
WMT,2023-03-31,135.67,0.012,1.25
WMT,2023-06-30,135.67,0.015,1.23
WMT,2023-09-30,145.67,0.012,1.25
WMT,2023-12-31,145.67,0.012,1.25
WMT,2024-03-31,135.67,0.012,1.25
WMT,2024-06-30,145.67,0.012,1.25
WMT,2024-09-30,145.67,0.012,1.25
WMT,2024-12-31,145.67,0.012,1.25
WMT,2025-03-31,145.67,0.012,1.25
WMT,2025-06-30,145.67,0.012,1.25
CVX,2020-03-31,120.56,0.06,1.23
CVX,2020-06-30,120.56,0.06,1.23
CVX,2020-09-30,120.56,0.06,1.23
CVX,2020-12-31,120.56,0.06,1.23
CVX,2021-03-31,120.56,0.06,1.23
CVX,2021-06-30,120.56,0.06,1.23
CVX,2021-09-30,120.56,0.06,1.23
CVX,2021-12-31,120.56,0.06,1.23
CVX,2022-03-31,120.56,0.06,1.23
CVX,2022-06-30,120.56,0.06,1.23
CVX,2022-09-30,120.56,0.06,1.23
CVX,2022-12-31,120.56,0.06,1.23
CVX,2023-03-31,120.56,0.06,1.23
CVX,2023-06-30,120.56,0.06,1.23
CVX,2023-09-30,120.56,0.06,1.23
CVX,2023-12-31,120.56,0.06,1.23
CVX,2024-03-31,120.56,0.06,1.23
CVX,2024-06-30,120.56,0.06,1.23
CVX,2024-09-30,120.56,0.06,1.23
CVX,2024-12-31,120.56,0.06,1.23
CVX,2025-03-31,120.56,0.06,1.23
CVX,2025-06-30,120.56,0.06,1.23
BAC,2020-03-31,35.12,0.06,0.75
BAC,2020-06-30,33.72,0.06,0.75
BAC,2020-09-30,35.12,0.06,0.75
BAC,2020-12-31,33.72,0.06,0.75
BAC,2021-03-31,33.72,0.06,0.75
BAC,2021-06-30,35.83,0.05,0.75
BAC,2021-09-30,35.12,0.06,0.75
BAC,2021-12-31,35.12,0.06,0.75
BAC,2022-03-31,35.12,0.06,0.75
BAC,2022-06-30,33.72,0.06,0.75
BAC,2022-09-30,35.12,0.06,0.75
BAC,2022-12-31,33.72,0.06,0.75
BAC,2023-03-31,33.72,0.06,0.75
BAC,2023-06-30,35.23,0.06,0.75
BAC,2023-09-30,33.72,0.06,0.75
BAC,2023-12-31,33.72,0.06,0.75
BAC,2024-03-31,33.72,0.06,0.75
BAC,2024-06-30,35.12,0.06,0.75
BAC,2024-09-30,33.72,0.06,0.75
BAC,2024-12-31,33.72,0.06,0.75
BAC,2025-03-31,33.72,0.06,0.75
BAC,2025-06-30,33.72,0.06,0.75
NKE,2020-03-31,120.5,0.06,1.2
NKE,2020-06-30,120.5,0.06,1.2
NKE,2020-09-30,120.5,0.06,1.2
NKE,2020-12-31,120.5,0.06,1.2
NKE,2021-03-31,120.5,0.06,1.2
NKE,2021-06-30,120.5,0.06,1.2
NKE,2021-09-30,120.5,0.06,1.2
NKE,2021-12-31,120.5,0.06,1.2
NKE,2022-03-31,120.5,0.06,1.2
NKE,2022-06-30,120.5,0.06,1.2
NKE,2022-09-30,120.5,0.06,1.2
NKE,2022-12-31,120.5,0.06,1.2
NKE,2023-03-31,120.5,0.06,1.2
NKE,2023-06-30,120.5,0.06,1.2
NKE,2023-09-30,120.5,0.06,1.2
NKE,2023-12-31,120.5,0.06,1.2
NKE,2024-03-31,120.5,0.06,1.2
NKE,2024-06-30,120.5,0.06,1.2
NKE,2024-09-30,120.5,0.06,1.2
NKE,2024-12-31,120.5,0.06,1.2
NKE,2025-03-31,120.5,0.06,1.2
NKE,2025-06-30,120.5,0.06,1.2
TSLA,2020-03-31,750.32,0.06,1.23
TSLA,2020-06-30,750.23,0.06,1.35
TSLA,2020-09-30,750.23,0.06,1.35
TSLA,2020-12-31,750.32,0.06,1.23
TSLA,2021-03-31,750.32,0.06,1.35
TSLA,2021-06-30,750.32,0.06,1.23
TSLA,2021-09-30,750.23,0.06,1.35
TSLA,2021-12-31,750.23,0.06,1.35
TSLA,2022-03-31,750.23,0.06,1.35
TSLA,2022-06-30,750.23,0.06,1.35
TSLA,2022-09-30,750.23,0.06,1.35
TSLA,2022-12-31,750.23,0.06,1.35
TSLA,2023-03-31,750.23,0.06,1.35
TSLA,2023-06-30,750.32,0.06,1.23
TSLA,2023-09-30,750.23,0.06,1.35
TSLA,2023-12-31,750.23,0.06,1.35
TSLA,2024-03-31,750.23,0.06,1.35
TSLA,2024-06-30,750.23,0.06,1.35
TSLA,2024-09-30,750.23,0.06,1.35
TSLA,2024-12-31,750.32,0.06,1.23
TSLA,2025-03-31,750.23,0.06,1.35
TSLA,2025-06-30,750.23,0.06,1.35
